NEWID	SPECIMEN_ID	COLLECTOR	NUMBER	ADDCOLL_LABEL	HERBARIOS	COLLDD	COLLMM	COLLYY	LABEL_NAME	NOME	GENUS	SP1	ESPECIE_ARTIGO	DETBY	DETMONTH	DETYEAR	OLDDETS	TAXON_NOTES	VERNACULAR	CLADO	ITS_TIP	CPDNA_TIP	NOTA_DE_HABITAT	NOTA_DE_SOLO	HABITOSTD	PLANT_DAP_CM	PLANT_HEIGHT_M	FERT	LABEL_NOTES	ALTITUDE_EST	ALTI_RANGE	LATITUDE	LONGITUDE	COORD_REF	COUNTRY	PROVINCE	MUNICIPIO	MINORAREA	NOTAS_LOCALIDADE	END
COH05	Cohn-_05	Cohn-Haft, M.	5		MO	 	 	 		Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	Vicentini, A.	10	2006				Guianensis	CON05	CON05								 		-9.5855972222	-64.9985388889	map to campina upstream of porto velho	Brasil	Rondônia	Porto Velho	Mutum Parana	Mutum Parana. Furnas P-13	endofline
DAL10667	Daly,_10667	Daly, D.C.	10667	Lohmann, L.; Souza, M.C.C.; Rivero, I.; Oliveria, E.C.; Bandeira, J.R.	MO; NY	26	4	2001		Pagamea acrensis Steyerm.	Pagamea	acrensis	acrensis	Vicentini, A.	8	2004				Acrensis	DAL10667	DAL10667	Campina. Large area of dense shrubs, most 2 m tall, with scattered trees to 5 m	white sand, exposed in many places, overlying impermeable clay	Shrub		2	Flower-old	Fruits immature. Frequent.	200		-7.4004166667	-73.0212222222	LABEL	Brasil	Amazonas	Guajará	BR-307	Río Juruá, BR-307, unfinished road near intersection with Ramal Pentecoste	endofline
EVA3253	Evans_3253	Evans, R.	3253		MO	30	6	2001		Pagamea capitata Benth.	Pagamea	capitata	capitata	Vicentini, A.	10	2006				Capitata	EVA3253	EVA3253	Samll island of savannah vegetation (shrubs/small trees and herbs) surrounded by low primary forest	exposed sandstone outcrop			2;3	Fruit	Very common; flowers with calyx green, corolla very pale green to white; fruit pale green and burgundy, +/- globose, 6-7 m in diameter	600		3.9072222222	-56.2125	LABEL	Suriname	Sipaliwini	Coppename	Tafelberg	Summit. Along trail from airplane crash site to Arrowhead Basin, ca. 300m SW of Augustus creek.	endofline
MAG28536	Magui_28536	Maguire, B.	28536	Politi, L.	K; NY; US; VEN	21	1	1949	Pagamea  velutina Steyerm.    	Pagamea velutina Steyerm.	Pagamea	velutina	velutina	Steyermark, A.	 	 				Macrophylla	MAG28536	MAG28536	Savanna		Small tree		3.5	Fruit	Flowers white; fruit cup red. Occasional.	1500		3.1138	-67.4	MAP - Cerro Paraqué 	Venezuela	Amazonas	D. Atures	Cerro Sipapo	San Pedro Cerro Sipapo (Paráque). Near base camp.	endofline
MOR1263	Moral_1263	Morales, Carlos	1263	Tupiza, M.	MO; QCNE	16	6	2005		Pagamea guianensis var. macrocarpa Steyerm.	Pagamea	dudleyi	sp.D	Vicentini, A.	10	2006				Macrocarpa	MOR1263	MOR1263	Bosque primario enano no mayor a 7m. Bosque Húmedo Premontano.	Piedra arenisca. Abundante substrato orgánico formado por hojarasca y musgos.	Shrub		2	Fruit	Tallo café, hojas opuestas, pecíolo rojizo, infructescenica terminal, pedúnculo rojizo, caliz rojo, frutos redondos verdes.	1260		-3.0611111111	-78.2391666667	LABEL	Ecuador	Morona Santiago	San Miguel de Conchay	Cordillera del Condor	Región de la Cordillera del Cóndor. Cuenca del Río Coangos. Comunidad Shuar de Kuankus. Sendero desde la base hacia la cima del Cerro Chuank Naint. 	endofline
OLI3719	Olive_3719	Oliveira, A.A.	3719	Vicentini, A.	INPA	30	11	2000		Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	Vicentini, A.	7	2001				Guianensis	OLI3719	OLI3719	Floresta de Igapó	arenoso	Tree	12	12	Estéril		13		-2.7633333333	-60.4444444444	globalmapper srtm	Brasil	Amazonas	Manaus	rio Cuieiras	Rio Cuieras, margem direita, próximo a base da polícia federal	endofline
TAT567	Tate,_567 	Tate, G.H.H.	567 	Wurdack, J.L.	F; NY; US	30	12	1928	Pagamea  duidana Standl. & Steyerm.    	Pagamea duidana Standl. & Steyerm.	Pagamea	duidana	duidana	Steyermark, A.	 	1963				Thyrsiflora	TAT567	TAT567	slopes		Small tree		3.5	Flower	Low bushy tree; calyx green, persistent; flowers apparently white. Fertile. [Date on the label: 28 Dec 1928-01 Jan 192]	1463		4.1793	-65.7	MAP	Venezuela	Amazonas	D. Atabapo	Cerro Duida	Cerro Duida, summit. Central Camp.	endofline
VIC1514	Vicen_1514	Vicentini, A.	1514	Costa, J.A.S.; Nascimento, C.	INPA	21	6	2000	Pagamea  harleyi Steyerm.    	Pagamea harleyi Steyerm.	Pagamea	harleyi	harleyi	Vicentini, A.	6	2000				Harleyi	VIC1514	VIC1514	Restinga sobre dunas,  vegetação arbustiva (< 2  m alt.) formando moitas com áreas de solo exposto	arenoso branco	Small tree	4	2.5	Flower	Planta cespitosa, formando moita de 4 m de diâmetro, com ramos no nível do solo. FL - pedúnculo verde, cálice verde, pétalas brancas.	45		-12.9255555556	-38.3525	GPS	Brasil	Bahia	Salvador	Dunas de Itapoã	Itapoá. Dunas de Itapoã, Praia de Stellamaris, atrás do Motel Sky	endofline
VIC1520	Vicen_1520	Vicentini, A.	1520		INPA; MO	23	6	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	6	2000				Guianensis	VIC1520	VIC1520	Área alterada de vegetação arbórea (15-20 m) dominada por uma espécie de Vochysiaceae, sobre Podzólico Vermelho Amarelo álico com horizonte A arenoso. Presente apenas nas áreas abertas e não muito comum no local.		Shrub		2	Flower; Fruit	Ereta, com ramos desde a base do tronco. Ramos jovens verdes, tronando-se avermelhados, como as estípulas velhas, e apenas depois lignificando. Folhas agrupadas no ápice dos ramos, evidente em ramos adultos lenhosos, com internós muitocurtos, enquanto ramos de alongamento apresentam internós longos e folhas persistentes no ápice das unidades de crescimento. Folhas discolores, verde claro na face inferior, escura na superior, exceto pela nervura central. Lâmina bulada, e plicada comoque direcionando a água da chuva para os ramos. FL - pedúnculo e cálice verdes, pétalas brancas, reflexas, pilosas internamente. FR - pedúnculo verde, cálice vermelho e baga ainda verde.	33		-12.7277777778	-38.185	GPS	Brasil	Bahia	Camaçari	BA-099 Estrada do Côco	Loteamendo Jardim das Mangabeiras, 2.5 km a W da estrada do Côco, sobre relevo ondulado dos tabuleiros costeiros	endofline
VIC1536	Vicen_1536	Vicentini, A.	1536		INPA; MO	26	6	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	6	2000				Guianensis	VIC1536	VIC1536	Savana arbustiva densa com indivíduos esparsos de Curatella americana, sobre solo arenoso raso cobrindo embasamento argiloso, provavelmente podzólico vermelho-amarelo álico.		Small tree	2	2	Flower	Ritidoma cinza e fissurado. FL - pétalas branco esverdeadas, internamente brancas e pilosas, perfumadas.	12		-13.0311111111	-38.8244444444	GPS	Brasil	Bahia	Jaguaripe	Estrada Nazaré-Ilha de Itaparica	Pirajuia. Estrada Nazaré-Ilha de Itaparica, poucos km antes da ponte que atravessa para a ilha em frente ao posto de gasolina.	endofline
VIC1541	Vicen_1541	Vicentini, A.	1541		INPA; MO	26	6	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	6	2000		one staminte and one pistillate sample of this collection, likely from two individuals		Guianensis	VIC1541	VIC1541	Vegetação secundária com palmeiras (Attalea sp.), sobre sobre areia quartzosa álica de coloração amarelada, sobre releve ondulado	areia amarela	Tree	10	3	Flower; Fruit	Copa com mais de 4 m de diâmetro com ramos no nível do solo. FL - flores brancas; FR - baga verde, cálice vermelho, pedúnculo da infrutescência vermelho-amarelado.  Espécie muito comum sobre as colinas de areia amarela.	68		-13.3847222222	-38.9141666667	GPS	Brasil	Bahia	Cairu	Ilha de Tinharé	Gamboa. Ilha de Tinharé, Morro de São Paulo, caminho do teatro, nas vertentes das colinas onduladas.	endofline
VIC1560	Vicen_1560	Vicentini, A.	1560	Amorin, A.; Fabrizio; Bestetti, C.	MO	30	6	2000	Pagamea  sp. nov. bahia     	Pagamea sp. nov. Bahia	Pagamea	sp. nov. bahiana	sp.C	Vicentini, A.	6	2000				Harleyi	VIC1560	VIC1560	Encrave (< 1ha) de solo arenoso cinza no tabuleiro argiloso, floresta alta (20-25 m), solo com espessa serrapilheira e tapete de raízes, fisionomia pouco distinta da floresta ombrófila densa circundante.		Tree	6	8	Estéril	Tronco circular cinza fissurado. Estéril.	60		-15.1888888889	-39.0644444444	GPS	Brasil	Bahia	Una	Reserva Biológica de Una	Pedras de Una. Reserva Biológica de Una, margem da estrada de acesso, < 1 km da entrada, lado esquerdo.	endofline
VIC1570	Vicen_1570	Vicentini, A.	1570		INPA; MO	30	6	2000	Pagamea  harleyi Steyerm.    	Pagamea harleyi Steyerm.	Pagamea	harleyi	harleyi	Vicentini, A.	6	2000				Harleyi	VIC1570	VIC1570	Restinga arbórea baixa (5-6 m) e densa, sem monodominância, sobre tabuleiro arenoso (areia branca), com áreas abertas de solo exposto (areia branca) com ilhas de Lagenocarpus, solo hidromófico.		Small tree	5	4	Flower; Fruit	INFL - frutos iniciando o desenvolvimento, ovário livre, pétalas caídas. Pedúnculo e cálice amarelado.	86		-14.9161111111	-39.0341666667	GPS	Brasil	Bahia	Ilhéus	Estrada Olivença-Una	Olivença. Fazenda Barra do Manguinho, ramal com entrada no km 12 da Rodovia Pontal/Olivença, lado direito (W), ca. 3 km da entrada.	endofline
VIC1579	Vicen_1579	Vicentini, A.	1579		MO	30	6	2000	Pagamea  sp. nov. bahia     	Pagamea sp. nov. Bahia	Pagamea	sp. nov. bahiana	sp.C	Vicentini, A.	6	2000				Harleyi	VIC1579	VIC1579	Restinga arbórea baixa (5-6 m) e densa, sem monodominância, sobre tabuleiro arenoso (areia branca), entremeadas por áreas abertas de solo exposto (areia branca) com dominância de Lagenocarpus, solo raso (< 50 cm de espessura) sobre lajedo de arenito.	Podzol hidromófico	Tree	8	4	Flower-old	Uma inflorescência velha desenvolvida como P. guianensis.	82		-14.9155555556	-39.0333333333	GPS	Brasil	Bahia	Ilhéus	Estrada Olivença-Una	Olivença. Fazenda Barra do Manguinho, ramal com entrada no km 12 da Rodovia Pontal/Olivença, lado direito (W), ca. 3 km da entrada.	endofline
VIC1596	Vicen_1596	Vicentini, A.	1596		INPA; MO	1	7	2000	Pagamea  sp. nov. bahia     	Pagamea sp. nov. Bahia	Pagamea	sp. nov. bahiana	sp.C	Vicentini, A.	7	2000				Harleyi	VIC1596	VIC1596	Restinga arbórea baixa (dossel ca. 8 m), com Clusia e Humiria e mangaba, com áreas abertas, herbáceas e encharcadas. Solo arenoso hidromórfico.	Podzol hidromófico	Tree	5	3	Bud; Fruit	Em moita de restinga baixa, 5-6 m de dossel, ao lado de área aberta. INFL - inflorescências jovens com botões desenvolvidos e inflorescências velhas com frutos secos.	41		-16.4002777778	-39.0591666667	GPS	Brasil	Bahia	Porto Seguro	Estrada Santa Cruz – Porto Seguro	Ramal a esquerda no km 3 da estrada Porto Seguro-Cabrália, subindo o tabuleiro arenoso, ca. 3 km W, loteamento de condomínios.	endofline
VIC1619	Vicen_1619	Vicentini, A.	1619		MO	2	7	2000	Pagamea  harleyi Steyerm.    	Pagamea harleyi Steyerm.	Pagamea	harleyi	harleyi	Vicentini, A.	7	2000				Harleyi	VIC1619	VIC1619	Restinga baixa (ca. 2-3 m de dossel) formando ilhas entremeadas por áreas baixas inundáveis dominadas por Lagenocarpus e, em algumas áreas Bonnettia. Planalto Cristalino, Tabuleiro Pré-Litorâneo, Pdozól hidromórfico.	Podzól hidromófico	Shrub	1	2	Estéril	Formando moita, com ramos desde o nível do solo. Borda da restinga, ao lado de área herbáceo-lenhosa com indivíduos esparsos de Bonnettia stricata em tapete de Lagenocarpus.	43		-16.0366666667	-38.9741666667	GPS	Brasil	Bahia	Belmonte	Estrada Belmonte-Itapebi	Estrada Belmonte-Itapebi, ca. 5 km depois da entrada na estrada Cabrália-Belmonte.	endofline
VIC1621	Vicen_1621	Vicentini, A.	1621		INPA; MO	2	7	2000	Pagamea  harleyi Steyerm.    	Pagamea harleyi Steyerm.	Pagamea	harleyi	harleyi	Vicentini, A.	7	2000				Harleyi	VIC1621	VIC1621	Restinga arbórea baixa (ca. 6-8 m de dossel) entremeadas por áreas baixas inundáveis dominadas por Lagenocarpus e, em algumas áreas Bonnettia. Planalto Cristalino, Tabuleiro Pré-Litorâneo.	Podzól hidromófico	Small tree	2	1	Bud	Formando moita de copa rala onde fica evidente a arquitetura em candelabro, com ramos orthotrópicos e folhas agrupadas no ápice das unidades de crescimento terminais. Há no local uma grande quantidade de troncosde Pagamea, sendo a espécie mais evidente num raio de ca. 30 m. Provavelmente um grande clone. INFL - inflorescências jovens e botões.	51		-16.0341666667	-38.9769444444	GPS	Brasil	Bahia	Belmonte	Estrada Belmonte-Itapebi	Estrada Belmonte-Itapebi, ca. 7 km depois da entrada na estrada Cabrália-Belmonte.	endofline
VIC1626	Vicen_1626	Vicentini, A.	1626		HUEFS; INPA; MO	3	7	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	7	2000				Guianensis	VIC1626	VIC1626	Restinga arbustiva baixa (2-3 m) numa formação +/- linear, praticamente monodominada por Pagamea, com ca. 150 m de comprimento x 20 m de largura. Cordão elevado, circundado por área alagadiça com Bonnettia stricta e Lagenocarpus.	Podzól hidromófico	Shrub	2	2	Flower; Fruit	Ca. 30 troncos fromando moita arredondada. Aparentemente Pagamea ocorre preferencialmente nas áreas mais abertas, estando praticamente ausente do interior da restinga arbórea alta (cf. Vicentini 1624). FR - baga verde, cálicevermelho. FL - brancas.	10		-13.9172222222	-38.9738888889	GPS	Brasil	Bahia	Maraú	BR-030	Estrada Campinho-Maraú, ca. 2 km do porto de Campinho, margem esquerda. Sedimentos quaternários litorâneos, solo arenosos hidromórfico.	endofline
VIC1630	Vicen_1630	Vicentini, A.	1630		HUEFS; INPA; MO	4	7	2000	Pagamea  plicata Spruce ex Benth. var. glabrescens Benth. 	Pagamea plicata var. glabrescens Benth.	Pagamea	glabrescens	plicata	Vicentini, A.	7	2000				Plicata	VIC1630	VIC1630	Vegetação baixa (2-3 m de dossel)  em solo de areia branca, margeando riacho, que corre sobre lajedo de arenito. Área com Humiria, Bonnettia, Lagenocarpus, Emmotum, etc.	Podzol hidromófico	Small tree	3	4	Fruit	Com mais de 20 troncos. Os arredores dessa floresta baixa de galeria queimados para pastagem. FR - pedicelo e cálice roxo; baga verde e arroxeada. A maioria dos indivíduos dessa população estão no entanto estéreis.	987		-13.0080555556	-41.3908333333	GPS	Brasil	Bahia	Mucugê	Estrada Mucugê-Barra da Estiva	Estrada Mucugê-Barra da Estiva, ca. 3 km saindo de Mucugê, do lado esquerdo da estrada.	endofline
VIC1633	Vicen_1633	Vicentini, A.	1633		INPA; MO	4	7	2000	Pagamea  plicata Spruce ex Benth. var. glabrescens Benth. 	Pagamea plicata var. glabrescens Benth.	Pagamea	glabrescens	plicata	Vicentini, A.	7	2000				Plicata	VIC1633	VIC1633	Vegetação baixa (2-3 m de dossel)  em solo de areia branca, margeando riacho, que corre sobre lajedo de arenito. Área com Humiria, Bonnettia, Lagenocarpus, Emmotum, etc.	Podzol hidromófico	Small tree	3	1	Flower	Margem do rio.	975		-13.0058333333	-41.3891666667	GPS	Brasil	Bahia	Mucugê	Estrada Mucugê-Barra da Estiva	Estrada Mucugê-Barra da Estiva, ca. 3 km saindo de Mucugê, do lado esquerdo da estrada.	endofline
VIC1653	Vicen_1653	Vicentini, A.	1653		INPA; MO	25	7	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	7	2000				Guianensis	VIC1653	VIC1653	Campinarana arbórea baixa (ca. 6-10 m de dossel), subbosque denso, sobre areia escura (enegrecida).	Solo arenoso cinza escuro.	Tree	4	4	Bud; Fruit	Ritidoma cinza e fissurado. FR - galhosos, disformes. BT- branco esverdeados.	539		-12.9791666667	-60.0136111111	GPS	Brasil	Mato Grosso	Comodoro	rio 12 de Outubro	Padronal. Balneário do Rio 12 de Outubro, ca. 80 km N de Comodoro.	endofline
VIC1671	Vicen_1671	Vicentini, A.	1671		MO	26	7	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	7	2000				Guianensis	VIC1671	VIC1671	Campinarana baixa (4-6 m de dossel) e densa de arvoretas finas (onde ocorre Pagamea), circundada por uma campinarana alta (20-25 m), solo de areia branca enegrecida por matéria orgânica. Emmotum, Heisteria, Scheflera, Roupala, Myrtaceae, Allamanda	arenoso cinza escuro.	Tree	3	2	Estéril	Ritidoma cinza e fissurado. Copa elíptica-vertical (1.5 m de altura x 1 m de diâmetro), densa. Estéril.	528		-12.7302777778	-60.1905555556	GPS	Brasil	Rondônia	Vilhena	BR-364	Ramal a esquerda no km 3-4 da BR Vilhena-Porto Velho, entrada para o Balneário do Raimundo, ao longo da margem esquerda do ramal.	endofline
VIC1680	Vicen_1680	Vicentini, A.	1680		INPA; MO	31	7	2000	Pagamea  coriacea Spruce ex Benth.    	Pagamea coriacea Benth.	Pagamea	coriacea	coriacea	Vicentini, A.	7	2000				Coriacea	VIC1680	VIC1680	Campina aberta alterada de áreia branca (5-6 m de dossel, árvores esparsas ou em moitas), sobre restinga arenosa na margem do Rio com dunas, continuo de floresta de igapó. Humiria, Ouratea, Alchornea, Mezilaurus itauba, Matayba (?), Anacardium.	arenoso	Tree		6.4	Flower	Com 6 troncos x < 8 cm, formando moita de 2.5 m de diâmetro, arredondada com ramos baixos desde o nível do solo. Poucas inflorescências com botões maduros e flores abertas. Muitas inflorescências muito jovem.	36		-3.0344444444	-60.5430555556	GPS	Brasil	Amazonas	Manaus	Praia Grande	Praia Grande, margem direita do rio Negro, SW das ilhas de Anavilhanas.	endofline
VIC1687	Vicen_1687	Vicentini, A.	1687	Santamaria, M.	INPA	4	8	2000	Pagamea  duckei Standl.    	Pagamea duckei Standl.	Pagamea	duckei	duckei	Vicentini, A.	8	2000				Duckei	VIC1687	VIC1687	Campinarana baixa (5-10 m), com Humiria, Ouratea, Adiscanthus, Aldina, e areas exposta com Cladonia. Lençol freático sempre subterrâneo.	arenoso	Small tree	4	4.5	Estéril	Ritidoma acinzentado descamando em placas papiráceas. Estéril.  A espécie ocorre principalmente na borda da campinarana e nas pequenas ilhas de árvores da campina baixa e aberta, com áreas de solo exposto com Cladonia, tornando-se menos abundante e frequente a medida que se avança pelo interior da campinarana alta circundante. População pequena (20-30 indivíduos), junto à campina aberta.	80		-2.6688888889	-60.0463888889	GPS	Brasil	Amazonas	Manaus	BR-174 Manaus-Caracaraí	BR-174, margem esquerda da estrada, atrás de antiga área de extração de areia	endofline
VIC1750	Vicen_1750	Vicentini, A.	1750		INPA; MO	8	8	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	8	2000		domacea not very conspicuos bracts very reduced		Puberula	VIC1750	VIC1750	Campina arbórea aberta, com áreas exposta com Cladonia. Dossel 7-8 m, mas Pagamea dominando na área aberta.	arenoso	Tree	4	2	Flower; Fruit	Formando moita clonal. Flores e frutos.	38		-3.0416666667	-60.0991666667	GPS	Brasil	Amazonas	Manaus	Ponta Negra	Bacia do rio Tarumã, próximo a foz, entrada pela Marina Tauá, sempre pelo caminho da esquerda. Área atrás de novo loteamento. Pelas estrada de acesso	endofline
VIC1753	Vicen_1753	Vicentini, A.	1753		INPA; MO	8	8	2000	guianensis	Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	8	2000		interesting resin on leaves, like, glands on ovary very conspicous		Puberula	VIC1753	VIC1753	Campina arbórea aberta, com áreas exposta com Cladonia. Dossel 7-8 m, mas Pagamea dominando na área aberta.	arenoso	Small tree	4	2.5	Fruit	Ramos baixos, frutos verdes.	36		-3.0413888889	-60.0997222222	GPS	Brasil	Amazonas	Manaus	Ponta Negra	Bacia do rio Tarumã, próximo a foz, entrada pela Marina Tauá, sempre pelo caminho da esquerda. Área atrás de novo loteamento. Pelas estrada de acesso	endofline
VIC1760	Vicen_1760	Vicentini, A.	1760	de Souza, E.E.	INPA; MO	23	7	2001	Pagamea  coriacea Spruce ex Benth.    	Pagamea coriacea Benth.	Pagamea	coriacea	coriacea	Vicentini, A.	7	2001				Coriacea	VIC1760	VIC1760	Campinarana baixa, borda para campinarana aberta	areia branca	Tree	4	4	Estéril	Tronco profundamente fissurado e cortiçoso.	37		-1.8080555556	-61.7566666667	GPS DATUM SWA	Brasil	Amazonas	Barcelos	Campina do Patauá	Parque Nacional do Jaú - Campina do Patauá	endofline
VIC1764	Vicen_1764	Vicentini, A.	1764	de Souza, E.E.	INPA; MO	23	7	2001	guianensis	Pagamea plicatiformis Steyerm.	Pagamea	plicatiformis	plicatiformis	Vicentini, A.	8	2004	P. guianensis Aubl. [Vicentini 7/2001]	leaves bullate both hairs are present on veins below, the diminute hairs persisting ..		Plicatiformis	VIC1764	VIC1764	Campinarana aberta	areia branca	Shrub		1	Fruit	Folhas cobertas de pêlos brancos. Frutos verdes, cálice vermelho.	55		-1.8133333333	-61.7627777778	GPS DATUM SWA	Brasil	Amazonas	Barcelos	Campina do Patauá	Parque Nacional do Jaú - Campina do Patauá - Trilha acampamento à trilha da campinarana baixa	endofline
VIC1765	Vicen_1765	Vicentini, A.	1765	de Souza, E.E.	INPA	23	7	2001	guianensis	Pagamea plicatiformis Steyerm.	Pagamea	plicatiformis	plicatiformis	Vicentini, A.	8	2004	P. guianensis Aubl. [Vicentini 7/2001]			Plicatiformis	VIC1765	VIC1765	Campinarana aberta	areia branca	Shrub		0.3	Estéril		51		-1.8141666667	-61.7627777778	GPS DATUM SWA	Brasil	Amazonas	Barcelos	Campina do Patauá	Parque Nacional do Jaú - Campina do Patauá - Trilha acampamento à trilha da campinarana baixa	endofline
